BOGOTA D.C.;BOGOTA D.C.;INSTITUTO DE BACHILLERATO POR CICLOS IBAC;CL 146 A 94 D 19;MIXTO;MEDIA  BASICA SECUNDARIA;MANANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;SEMILLAS DE SECUOYAS - CENTRO PARA EL DESARROLLO DEL POTENCIAL DEL NINO;KR 47 104 05;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC HEURISTICO (JARDIN MATERNA L MUNDO DE ENSUENO) ;CLL. 142A NO. 40-34 BIS;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO YACARD;KR 65 170 85;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES FRANCES;PERSONA NATURAL;B
BOGOTA D.C.;BOGOTA D.C.;COLEGIO SAN GABRIEL POSSENTI;CL 136 A 111 B 06;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN LA CIMA                                                                                        ;KR 112 B 142 64;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;CENT EDUC LOMBARDIA                                                                                 ;KR 109 143 19;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO CAMPESTRE STEPHEN HAWKING;KR 68 173 A 50;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL NUEVO COLOMBO AMERICANO                                                                         ;KR 73 214 53;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO KAIPORE CENTRO DE DESARROLLO TEMPRANO                                                      ;DG 113 55 79;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;HEBREO;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC SEGOVIA                                                                                         ;DG. 103 NO.61-41;FEMENINO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC CAMBRIDGE                                                                                       ;KM. 7 VIA SUBA-COTA;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
